px py yaw vaim_x vaim_y vset_x vset_y min_dist
-0.943046 -1.54244 0.0025717 0 0 0 -0 0.818003
-0.943044 -1.54246 0.00255877 0 0 0 -0 0.818003
-0.943069 -1.54245 0.0025748 0 0 0 -0 0.815999
-0.943047 -1.54246 0.00254921 0 0 0 -0 0.817999
-0.943056 -1.54245 0.00265715 0 0 0 -0 0.817999
-0.943044 -1.54245 0.00254156 0 0 0 -0 0.816002
-0.943045 -1.54257 0.00253968 0 0 0 -0 0.816002
-0.94306 -1.54245 0.00254713 0 0 0 -0 0.817999
-0.943045 -1.54246 0.00250804 0 0 0 -0 0.818001
-0.943049 -1.54245 0.00264471 0 0 0 -0 0.818001
-0.943041 -1.54245 0.00256936 0 0 0 -0 0.817999
-0.943052 -1.54246 0.00258034 0 0 0 -0 0.817999
-0.943054 -1.54245 0.00258516 0 0 0 -0 0.818001
-0.943037 -1.54246 0.00249865 0 0 0 -0 0.816
-0.943062 -1.54257 0.00255627 0 0 0 -0 0.816
-0.943058 -1.54256 0.00250434 0 0 0 -0 0.817998
-0.94305 -1.54257 0.00249021 0 0 0 -0 0.817998
-0.943065 -1.54256 0.00253267 0 0 0 -0 0.818001
-0.943053 -1.54256 0.00244541 0 0 0 -0 0.816027
-0.943058 -1.54246 0.00260554 0 0 0 -0 0.816027
-0.943065 -1.54243 0.00256789 0 0 0 -0 0.818001
-0.943039 -1.54244 0.00251294 0 0 0 -0 0.817999
-0.943051 -1.54255 0.00256268 0 0 0 -0 0.817999
-0.943046 -1.54255 0.00247529 0 0 0 -0 0.815972
-0.94304 -1.54245 0.00250735 0 0 0 -0 0.818029
-0.943056 -1.54246 0.00259374 0 0 0 -0 0.818029
-0.943053 -1.54245 0.00256864 0 0 0 -0 0.815976
-0.943043 -1.54256 0.00247477 0 0 0 -0 0.815976
-0.94306 -1.54245 0.0025977 0 0 0 -0 0.818002
-0.94306 -1.54256 0.00246257 0 0 0 -0 0.816
-0.94305 -1.54257 0.0024391 0 0 0 -0 0.815999
-0.943073 -1.54257 0.00253126 0 0 0 -0 0.815999
-0.943069 -1.54256 0.00249468 0 0 0 -0 0.818029
-0.943049 -1.54256 0.00244135 0 0 0 -0 0.818
-0.943069 -1.54256 0.00249719 0 0 0 -0 0.818
-0.943066 -1.54255 0.00251629 0 0 0 -0 0.817996
-0.943056 -1.54256 0.00243746 0 0 0 -0 0.817974
-0.943066 -1.54256 0.00253351 0 0 0 -0 0.817974
-0.94307 -1.54255 0.00247881 0 0 0 -0 0.816027
-0.943056 -1.54256 0.00241173 0 0 0 -0 0.817999
-0.943067 -1.54256 0.00251642 0 0 0 -0 0.817999
-0.943055 -1.54255 0.00245831 0 0 0 -0 0.817974
-0.943045 -1.54246 0.0024525 0 0 0 -0 0.818028
